scope,metric,value
all,n_cells,95654.0
all,n_reaches_count,95654.0
all,n_reaches_min,1.0
all,n_reaches_p50,8.0
all,n_reaches_p90,15.0
all,n_reaches_p95,18.0
all,n_reaches_p99,24.0
all,n_reaches_max,45.0
all,n_reaches_mean,8.767871704267463
all,total_length_km_count,95654.0
all,total_length_km_min,5.105312941098864e-11
all,total_length_km_p50,24.906661064199895
all,total_length_km_p90,39.39837243994131
all,total_length_km_p95,43.615372320455116
all,total_length_km_p99,51.174626192552125
all,total_length_km_max,77.05231776435326
all,total_length_km_mean,25.355626579703827
all,main_length_frac_count,95654.0
all,main_length_frac_min,0.05539076414103191
all,main_length_frac_p50,0.29817779514493625
all,main_length_frac_p90,0.5484033918586286
all,main_length_frac_p95,0.6540612083106863
all,main_length_frac_p99,0.9134466506137362
all,main_length_frac_max,1.0
all,main_length_frac_mean,0.3341310892539456
all,share_cells_main_frac_lt_0p5,0.8590754176511176
all,share_cells_n_reaches_ge_10,0.3580090743722165
all,share_cells_has_next,0.3160139670060844
all,share_cells_multi_exit_downstream_cells_ge_2,0.6144228155644301
all,share_cells_any_exit_reach,0.982426244589876
china,n_cells,31207.0
china,n_reaches_count,31207.0
china,n_reaches_min,1.0
china,n_reaches_p50,7.0
china,n_reaches_p90,15.0
china,n_reaches_p95,17.0
china,n_reaches_p99,23.0
china,n_reaches_max,44.0
china,n_reaches_mean,8.412279296311725
china,total_length_km_count,31207.0
china,total_length_km_min,7.346387938435014e-11
china,total_length_km_p50,24.393551954665696
china,total_length_km_p90,38.768890054268596
china,total_length_km_p95,42.90661944294237
china,total_length_km_p99,50.72727734987471
china,total_length_km_max,77.05231776435326
china,total_length_km_mean,24.84652196572131
china,main_length_frac_count,31207.0
china,main_length_frac_min,0.057823756372886136
china,main_length_frac_p50,0.30680854005628877
china,main_length_frac_p90,0.5575162187687748
china,main_length_frac_p95,0.6657565996655185
china,main_length_frac_p99,0.9326924497948711
china,main_length_frac_max,1.0
china,main_length_frac_mean,0.3428519304271203
china,share_cells_main_frac_lt_0p5,0.8488800589611305
china,share_cells_n_reaches_ge_10,0.3279712884929663
china,share_cells_has_next,0.9686288332745858
china,share_cells_multi_exit_downstream_cells_ge_2,0.608645496202775
china,share_cells_any_exit_reach,0.9805171916557183
