grid_id,n_reaches,total_length_km,max_seg_length_km,main_hyriv_id,main_length_km,main_length_frac,n_exit_reaches,n_exit_downstream_cells,in_china,next_grid_id,has_next,rank_by
2760982,44,61.2294294824271,5.469073620154204,40812748,5.469073620154204,0.08932099590645105,0,0,True,-1.0,False,n_reaches
2860939,43,59.80997343111854,3.4584373323497912,40747039,3.4584373323497912,0.057823756372886136,0,0,True,-1.0,False,n_reaches
2880940,42,52.327494524595366,3.5553668077253406,40740388,3.5553668077253406,0.06794452591369954,3,2,True,2880939.0,True,n_reaches
2860964,41,53.6775966268388,4.577481940755332,40747795,4.577481940755332,0.08527732663922198,0,0,True,-1.0,False,n_reaches
2420982,40,74.00227083950227,5.47103218254223,41016922,5.47103218254223,0.07393059862187099,2,1,True,2420981.0,True,n_reaches
2460978,39,75.70874147013772,4.598920735890179,40992123,4.598920735890179,0.06074491064818664,1,1,True,2450978.0,True,n_reaches
2540982,39,63.94895608314701,4.743482778791587,40947265,4.743482778791587,0.07417607838076462,1,1,True,2530982.0,True,n_reaches
2840962,38,49.71986485453164,5.779295186765874,40758909,5.779295186765874,0.11623714593100164,0,0,True,-1.0,False,n_reaches
2381132,34,52.88172220042008,3.7324992162281787,41034016,3.7324992162281787,0.07058202836288355,2,1,True,2371132.0,True,n_reaches
2900954,34,51.365526361029175,4.07021149292244,40727079,4.07021149292244,0.07924013986179053,2,1,True,-1.0,False,n_reaches
2460976,34,48.277446617131204,4.1602893744588005,40995259,4.1602893744588005,0.08617459426660162,6,2,True,2450976.0,True,n_reaches
2860936,34,37.50328101190582,3.2300937671218772,40749257,3.2300937671218772,0.08612829811067595,5,2,True,2860935.0,True,n_reaches
2380976,33,77.05231776435326,9.35459176042964,41035655,9.35459176042964,0.12140571538728401,0,0,True,-1.0,False,n_reaches
2440976,33,60.9219913022229,6.5187906726981,41006397,6.5187906726981,0.10700225868126285,3,1,True,2440975.0,True,n_reaches
2400976,33,54.540623767538676,5.199437644378732,41024656,5.199437644378732,0.09533146644122757,3,2,True,2390976.0,True,n_reaches
2460982,32,56.94736163627798,5.121607440106564,40991615,5.121607440106564,0.08993581604040236,5,2,True,2460981.0,True,n_reaches
2741126,32,55.74709427938645,6.019350719556288,40827519,6.019350719556288,0.10797604426500229,2,2,True,2741127.0,True,n_reaches
2361134,32,54.97701694448204,5.801250655541422,41044390,5.801250655541422,0.10552137925925943,3,3,True,2371134.0,True,n_reaches
2440978,32,49.29010612446761,6.291878754537958,41005074,6.291878754537958,0.1276499332066698,3,2,True,2440977.0,True,n_reaches
2820972,32,48.82094020243502,3.840013237989886,40776211,3.840013237989886,0.07865504478339316,5,2,True,2820971.0,True,n_reaches
2520982,32,46.102070652919906,4.307386116092038,40956915,4.307386116092038,0.09343151088636031,8,5,True,2530982.0,True,n_reaches
2461118,31,61.676022844855666,5.722729832048805,40991665,5.722729832048805,0.0927869465001687,2,2,True,2461119.0,True,n_reaches
2840970,31,61.20685618509607,3.6505896475227395,40764088,3.6505896475227395,0.05964347583027245,2,2,True,2830970.0,True,n_reaches
2341134,31,59.5074091649779,7.419008179287277,41058100,7.419008179287277,0.12467368825819444,1,1,True,2331134.0,True,n_reaches
2480986,31,56.74815916152366,4.568932552073877,40982745,4.568932552073877,0.08051243634298715,1,1,True,2470986.0,True,n_reaches
2460984,31,55.28794458067419,4.213395305791794,40995967,4.213395305791794,0.07620821026623187,2,2,True,2450984.0,True,n_reaches
2261026,31,50.88800299698876,8.407628409469345,41098535,8.407628409469345,0.16521828160493657,0,0,True,-1.0,False,n_reaches
2421132,31,49.25930201868902,4.847272047129315,41013550,4.847272047129315,0.0984031817034325,1,1,True,2421131.0,True,n_reaches
2201126,31,48.43967435400411,3.852022121595117,41126375,3.852022121595117,0.07952204825829308,2,2,True,2201127.0,True,n_reaches
2860972,31,43.397476455525066,6.327960693342524,40748562,6.327960693342524,0.14581402445894737,2,2,True,2860971.0,True,n_reaches
2520978,31,38.731417747271536,3.4247973345217666,40960343,3.4247973345217666,0.08842426984906922,6,2,True,2510978.0,True,n_reaches
2420978,30,70.52251182739977,8.943702251160024,41015234,8.943702251160024,0.12682052892627077,3,2,True,2420977.0,True,n_reaches
2841194,30,63.94800306409401,7.235431140101908,40760694,7.235431140101908,0.11314553689581137,2,1,True,2841195.0,True,n_reaches
2221128,30,57.86054125958922,4.30900256945111,41115876,4.30900256945111,0.0744722132846792,3,1,True,2221127.0,True,n_reaches
2181122,30,54.3235277190942,3.4856355340299623,41136050,3.4856355340299623,0.06416438107727666,0,0,True,-1.0,False,n_reaches
2880852,30,49.801832395960176,6.109913124811821,40739303,6.109913124811821,0.12268450438196014,2,2,True,2870852.0,True,n_reaches
2380977,30,49.58076496981169,4.362983033071246,41034363,4.362983033071246,0.08799749329659882,3,1,True,2380976.0,True,n_reaches
2501092,29,62.02847993959938,6.784410992681983,40969663,6.784410992681983,0.10937574158335568,1,1,True,2491092.0,True,n_reaches
2181088,29,57.71814160968752,6.804115171834048,41133770,6.804115171834048,0.1178852087415793,3,1,True,2171088.0,True,n_reaches
3880962,29,57.105352860919616,4.549973633708924,40385447,4.549973633708924,0.07967683248171863,1,1,True,3890961.0,True,n_reaches
2941160,29,57.03597884066527,5.242045710067345,40708652,5.242045710067345,0.09190770136007369,2,2,True,2951161.0,True,n_reaches
2581122,29,56.34466047029862,6.344751391309031,40923237,6.344751391309031,0.1126060808309172,3,1,True,2581123.0,True,n_reaches
2920952,29,53.7755991476121,5.71605691257045,40718655,5.71605691257045,0.10629462066763921,2,1,True,2920951.0,True,n_reaches
2521094,29,51.184284949102796,5.423043868111308,40958233,5.423043868111308,0.10595134568166646,2,1,True,2521093.0,True,n_reaches
3021170,29,50.089766949806396,6.063662008618583,40672808,6.063662008618583,0.12105590378759029,1,1,True,3021169.0,True,n_reaches
2940956,29,49.93030791689594,5.63908155359138,40709133,5.63908155359138,0.11293905022530751,2,1,True,2940955.0,True,n_reaches
2480980,29,49.66094346292107,4.54589990045255,40982984,4.54589990045255,0.09153873413312634,5,2,True,2470980.0,True,n_reaches
2201114,29,49.544368082943016,4.505534192504645,41127127,4.505534192504645,0.09093938154508013,4,1,True,2201115.0,True,n_reaches
2400980,29,49.12080780751591,7.689573193705342,41024438,7.689573193705342,0.15654411107890556,3,1,True,2400979.0,True,n_reaches
2821180,29,48.2819354451668,7.463155957528094,40775494,7.463155957528094,0.15457449848927263,4,1,True,2831180.0,True,n_reaches
2500978,29,47.93842808265821,4.539278451188895,40969616,4.539278451188895,0.09468976419840067,5,4,True,2500977.0,True,n_reaches
2420980,29,47.91118862424733,6.311062938351137,41017164,6.311062938351137,0.13172419886817788,1,1,True,2420981.0,True,n_reaches
2341140,29,46.07182333395237,4.586411229274085,41056759,4.586411229274085,0.09954915819218631,4,2,True,2341139.0,True,n_reaches
2840964,29,42.03768393905705,4.197591187838784,40763783,4.197591187838784,0.09985305550905525,3,2,True,2830964.0,True,n_reaches
2880938,29,39.76705620671401,4.481875452095338,40737996,4.481875452095338,0.11270322421649726,2,1,True,2890938.0,True,n_reaches
2900964,29,38.847835664292404,4.774260174745658,40726905,4.774260174745658,0.12289642635442864,6,3,True,2900965.0,True,n_reaches
2601106,28,56.830944469102256,5.267633920055244,40911780,5.267633920055244,0.09268953682300918,2,2,True,2611106.0,True,n_reaches
2421138,28,56.59549445069725,4.9620412546344275,41015713,4.9620412546344275,0.08767555267066486,2,1,True,2421137.0,True,n_reaches
2961156,28,56.58045786872237,5.378119325104663,40700397,5.378119325104663,0.09505259461814435,1,1,True,2961157.0,True,n_reaches
3021182,28,55.59389842521044,4.515276296358063,40675528,4.515276296358063,0.08121891833925605,2,2,True,3031182.0,True,n_reaches
2901180,28,55.38413293776686,5.6428407397276645,40730285,5.6428407397276645,0.1018855119762969,3,2,True,2901179.0,True,n_reaches
2860848,28,55.02563069593283,5.291875627586868,40748989,5.291875627586868,0.09617110355044076,2,1,True,2850848.0,True,n_reaches
2921184,28,53.3168439724756,5.699091215739602,40717814,5.699091215739602,0.10689100837779732,3,1,True,2911184.0,True,n_reaches
2860968,28,51.06150863315912,7.9194617937919,40750538,7.9194617937919,0.15509651018515022,3,1,True,2860969.0,True,n_reaches
2781152,28,50.086122580135644,4.487763465119504,40797751,4.487763465119504,0.08960093602652662,3,1,True,2781153.0,True,n_reaches
2641108,28,50.024196715240194,5.813117334813822,40885988,5.813117334813822,0.11620611057294236,1,1,True,2641109.0,True,n_reaches
2781144,28,47.19127782502644,5.716153454450224,40799953,5.716153454450224,0.1211273294112591,1,1,True,2781145.0,True,n_reaches
2461132,28,46.37980607843043,4.067087063603425,40993446,4.067087063603425,0.08769090273309443,2,2,True,2461133.0,True,n_reaches
